ID,Epic,Title,As a,I want,So that,Acceptance Criteria (pipe-separated)
US-001,Core Functionality,Support event type: Class visits,user,support event type: Class visits,achieve the intended outcome,"Given a valid context, when the user performs 'support event type: Class visits', then the operation succeeds. | Given an alternate context, when the user performs 'support event type: Class visits', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support event type: Class visits', then the system returns a clear validation error. | Given normal load, when the user performs 'support event type: Class visits', then the response time meets performance targets."
US-002,Core Functionality,Support event type: Field trips,user,support event type: Field trips,achieve the intended outcome,"Given a valid context, when the user performs 'support event type: Field trips', then the operation succeeds. | Given an alternate context, when the user performs 'support event type: Field trips', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support event type: Field trips', then the system returns a clear validation error. | Given normal load, when the user performs 'support event type: Field trips', then the response time meets performance targets."
US-003,Core Functionality,Support event type: Company visits,user,support event type: Company visits,achieve the intended outcome,"Given a valid context, when the user performs 'support event type: Company visits', then the operation succeeds. | Given an alternate context, when the user performs 'support event type: Company visits', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support event type: Company visits', then the system returns a clear validation error. | Given normal load, when the user performs 'support event type: Company visits', then the response time meets performance targets."
US-004,Core Functionality,Support event type: Virtual events,user,support event type: Virtual events,achieve the intended outcome,"Given a valid context, when the user performs 'support event type: Virtual events', then the operation succeeds. | Given an alternate context, when the user performs 'support event type: Virtual events', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support event type: Virtual events', then the system returns a clear validation error. | Given normal load, when the user performs 'support event type: Virtual events', then the response time meets performance targets."
US-005,Core Functionality,Support event type: Miscellaneous activities,user,support event type: Miscellaneous activities,achieve the intended outcome,"Given a valid context, when the user performs 'support event type: Miscellaneous activities', then the operation succeeds. | Given an alternate context, when the user performs 'support event type: Miscellaneous activities', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support event type: Miscellaneous activities', then the system returns a clear validation error. | Given normal load, when the user performs 'support event type: Miscellaneous activities', then the response time meets performance targets."
US-006,Core Functionality,Store event data field: Event type classification,user,store event data field: Event type classification,achieve the intended outcome,"Given a valid context, when the user performs 'store event data field: Event type classification', then the operation succeeds. | Given an alternate context, when the user performs 'store event data field: Event type classification', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'store event data field: Event type classification', then the system returns a clear validation error. | Given normal load, when the user performs 'store event data field: Event type classification', then the response time meets performance targets."
US-007,Core Functionality,Store event data field: Host information,user,store event data field: Host information,achieve the intended outcome,"Given a valid context, when the user performs 'store event data field: Host information', then the operation succeeds. | Given an alternate context, when the user performs 'store event data field: Host information', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'store event data field: Host information', then the system returns a clear validation error. | Given normal load, when the user performs 'store event data field: Host information', then the response time meets performance targets."
US-008,Core Functionality,Store event data field: Date/time details,user,store event data field: Date/time details,achieve the intended outcome,"Given a valid context, when the user performs 'store event data field: Date/time details', then the operation succeeds. | Given an alternate context, when the user performs 'store event data field: Date/time details', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'store event data field: Date/time details', then the system returns a clear validation error. | Given normal load, when the user performs 'store event data field: Date/time details', then the response time meets performance targets."
US-009,Core Functionality,Store event data field: Location/venue,user,store event data field: Location/venue,achieve the intended outcome,"Given a valid context, when the user performs 'store event data field: Location/venue', then the operation succeeds. | Given an alternate context, when the user performs 'store event data field: Location/venue', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'store event data field: Location/venue', then the system returns a clear validation error. | Given normal load, when the user performs 'store event data field: Location/venue', then the response time meets performance targets."
US-010,Core Functionality,Store event data field: Description and requirements,user,store event data field: Description and requirements,achieve the intended outcome,"Given a valid context, when the user performs 'store event data field: Description and requirements', then the operation succeeds. | Given an alternate context, when the user performs 'store event data field: Description and requirements', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'store event data field: Description and requirements', then the system returns a clear validation error. | Given normal load, when the user performs 'store event data field: Description and requirements', then the response time meets performance targets."
US-011,Core Functionality,Maintain host profile field: Organization name,user,maintain host profile field: Organization name,achieve the intended outcome,"Given a valid context, when the user performs 'maintain host profile field: Organization name', then the operation succeeds. | Given an alternate context, when the user performs 'maintain host profile field: Organization name', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'maintain host profile field: Organization name', then the system returns a clear validation error. | Given normal load, when the user performs 'maintain host profile field: Organization name', then the response time meets performance targets."
US-012,Core Functionality,Maintain host profile field: County location,user,maintain host profile field: County location,achieve the intended outcome,"Given a valid context, when the user performs 'maintain host profile field: County location', then the operation succeeds. | Given an alternate context, when the user performs 'maintain host profile field: County location', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'maintain host profile field: County location', then the system returns a clear validation error. | Given normal load, when the user performs 'maintain host profile field: County location', then the response time meets performance targets."
US-013,Core Functionality,Maintain host profile field: Website URL,user,maintain host profile field: Website URL,achieve the intended outcome,"Given a valid context, when the user performs 'maintain host profile field: Website URL', then the operation succeeds. | Given an alternate context, when the user performs 'maintain host profile field: Website URL', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'maintain host profile field: Website URL', then the system returns a clear validation error. | Given normal load, when the user performs 'maintain host profile field: Website URL', then the response time meets performance targets."
US-014,Core Functionality,Maintain host profile field: Industry classification,user,maintain host profile field: Industry classification,achieve the intended outcome,"Given a valid context, when the user performs 'maintain host profile field: Industry classification', then the operation succeeds. | Given an alternate context, when the user performs 'maintain host profile field: Industry classification', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'maintain host profile field: Industry classification', then the system returns a clear validation error. | Given normal load, when the user performs 'maintain host profile field: Industry classification', then the response time meets performance targets."
US-015,Core Functionality,Maintain host profile field: Organization type (Company vs Non-Profit),user,maintain host profile field: Organization type (Company vs Non-Profit),achieve the intended outcome,"Given a valid context, when the user performs 'maintain host profile field: Organization type (Company vs Non-Profit)', then the operation succeeds. | Given an alternate context, when the user performs 'maintain host profile field: Organization type (Company vs Non-Profit)', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'maintain host profile field: Organization type (Company vs Non-Profit)', then the system returns a clear validation error. | Given normal load, when the user performs 'maintain host profile field: Organization type (Company vs Non-Profit)', then the response time meets performance targets."
US-016,Core Functionality,Support request type: School visit requests (companies visiting schools),user,support request type: School visit requests (companies visiting schools),achieve the intended outcome,"Given a valid context, when the user performs 'support request type: School visit requests (companies visiting schools)', then the operation succeeds. | Given an alternate context, when the user performs 'support request type: School visit requests (companies visiting schools)', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support request type: School visit requests (companies visiting schools)', then the system returns a clear validation error. | Given normal load, when the user performs 'support request type: School visit requests (companies visiting schools)', then the response time meets performance targets."
US-017,Core Functionality,Support request type: Reverse visit requests (schools visiting companies),user,support request type: Reverse visit requests (schools visiting companies),achieve the intended outcome,"Given a valid context, when the user performs 'support request type: Reverse visit requests (schools visiting companies)', then the operation succeeds. | Given an alternate context, when the user performs 'support request type: Reverse visit requests (schools visiting companies)', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support request type: Reverse visit requests (schools visiting companies)', then the system returns a clear validation error. | Given normal load, when the user performs 'support request type: Reverse visit requests (schools visiting companies)', then the response time meets performance targets."
US-018,Core Functionality,Support request type: Sponsorship requests,user,support request type: Sponsorship requests,achieve the intended outcome,"Given a valid context, when the user performs 'support request type: Sponsorship requests', then the operation succeeds. | Given an alternate context, when the user performs 'support request type: Sponsorship requests', then the system handles the edge case gracefully. | Given invalid inputs, when the user performs 'support request type: Sponsorship requests', then the system returns a clear validation error. | Given normal load, when the user performs 'support request type: Sponsorship requests', then the response time meets performance targets."
